"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_trust <cert#1>","www.google.com/172.217.6.68","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust <cert#1>","www.google.com/172.217.6.68","443","OK","passed.","",""
"cert_certificatePolicies_EV <cert#1>","www.google.com/172.217.6.68","443","INFO","no","",""
"cert_expiration_status <cert#1>","www.google.com/172.217.6.68","443","OK","69 >= 60 days","",""
"cert_notBefore <cert#1>","www.google.com/172.217.6.68","443","INFO","2018-10-30 07:14","",""
"cert_notAfter <cert#1>","www.google.com/172.217.6.68","443","OK","2019-01-22 06:14","",""
"certs_countServer <cert#1>","www.google.com/172.217.6.68","443","INFO","2","",""
"certs_list_ordering_problem <cert#1>","www.google.com/172.217.6.68","443","INFO","no","",""
"cert_crlDistributionPoints <cert#1>","www.google.com/172.217.6.68","443","INFO","http://crl.pki.goog/GTSGIAG3.crl","",""
"cert_ocspURL <cert#1>","www.google.com/172.217.6.68","443","INFO","http://ocsp.pki.goog/GTSGIAG3","",""
"OCSP_stapling <cert#1>","www.google.com/172.217.6.68","443","LOW","not offered","",""
"cert_mustStapleExtension <cert#1>","www.google.com/172.217.6.68","443","INFO","--","",""
"DNS_CAArecord <cert#1>","www.google.com/172.217.6.68","443","OK","issue=pki.goog","",""
"certificate_transparency <cert#1>","www.google.com/172.217.6.68","443","OK","yes (TLS extension)","",""
"cert_signatureAlgorithm <cert#2>","www.google.com/172.217.6.68","443","OK","SHA256 with RSA","",""
"cert_keySize <cert#2>","www.google.com/172.217.6.68","443","OK","256 EC bits","",""
"cert_keyUsage <cert#2>","www.google.com/172.217.6.68","443","INFO","Digital Signature","",""
"cert_extKeyUsage <cert#2>","www.google.com/172.217.6.68","443","INFO","cert_ext_keyusage","",""
"cert_serialNumber <cert#2>","www.google.com/172.217.6.68","443","INFO","597C3781CA490287","",""
"cert_fingerprintSHA1 <cert#2>","www.google.com/172.217.6.68","443","INFO","0034D4BFD0DC5874D8B05ABC5399229CE64B51BD","",""
"cert_fingerprintSHA256 <cert#2>","www.google.com/172.217.6.68","443","INFO","EB5BAB1249873AA7C8DE7DDE08E95E8D704DE9BE9C8AF67207B44D3BB74AE7E2","",""
"cert <cert#2>","www.google.com/172.217.6.68","443","INFO","-----BEGIN CERTIFICATE----- MIIDxzCCAq+gAwIBAgIIWXw3gcpJAocwDQYJKoZIhvcNAQELBQAwVDELMAkGA1UE BhMCVVMxHjAcBgNVBAoTFUdvb2dsZSBUcnVzdCBTZXJ2aWNlczElMCMGA1UEAxMc R29vZ2xlIEludGVybmV0IEF1dGhvcml0eSBHMzAeFw0xODEwMzAxMzE0MDBaFw0x OTAxMjIxMzE0MDBaMGgxCzAJBgNVBAYTAlVTMRMwEQYDVQQIDApDYWxpZm9ybmlh MRYwFAYDVQQHDA1Nb3VudGFpbiBWaWV3MRMwEQYDVQQKDApHb29nbGUgTExDMRcw FQYDVQQDDA53d3cuZ29vZ2xlLmNvbTBZMBMGByqGSM49AgEGCCqGSM49AwEHA0IA BMtFbHWZpFptlKjb2c3RPKOAnoLY6zYMchldKvkZtaQzLOAdHdNRuPrs+7/dFdKS PKBRcVdmWKi8m1VPoD/4dACjggFSMIIBTjATBgNVHSUEDDAKBggrBgEFBQcDATAO BgNVHQ8BAf8EBAMCB4AwGQYDVR0RBBIwEIIOd3d3Lmdvb2dsZS5jb20waAYIKwYB BQUHAQEEXDBaMC0GCCsGAQUFBzAChiFodHRwOi8vcGtpLmdvb2cvZ3NyMi9HVFNH SUFHMy5jcnQwKQYIKwYBBQUHMAGGHWh0dHA6Ly9vY3NwLnBraS5nb29nL0dUU0dJ QUczMB0GA1UdDgQWBBSVeFCMv08UhfiUudc8uKvrCcLTqzAMBgNVHRMBAf8EAjAA MB8GA1UdIwQYMBaAFHfCuFCaZ3Z2sS3ChtCDoH6mfrpLMCEGA1UdIAQaMBgwDAYK KwYBBAHWeQIFAzAIBgZngQwBAgIwMQYDVR0fBCowKDAmoCSgIoYgaHR0cDovL2Ny bC5wa2kuZ29vZy9HVFNHSUFHMy5jcmwwDQYJKoZIhvcNAQELBQADggEBAAhKo7iH 3G7wgWEF8D68dQUUesmvs5LJu0b86BEN1ZMqPm7l8rgjYmArJ/cx+5KyzIq/gJk8 TUAUectq0Jk3o6m/J4bEJh509RGRqG03REeA3jUbExuvetrtV1PkauUG4hj8OGPK DZBRCuSe82/e7NKqSGiTvDZQmxpxN8kHIhAZETDs7f9bpxhl04ae2969xmT3iDK7 ecn6IXJ1/mGta+BEULNfLUTXXawJktc6yWjz6hXYnjvXWPmND43WF5GZfTdgr4Ki rwKH1WQcHT9qSlfkikBNcvQR33SoQAm4GmVurWbvQjBfnU1vLLjEMWpk6KNy3GTx ZrQrVzGjJGsPIoQ= -----END CERTIFICATE-----","",""
"cert_commonName <cert#2>","www.google.com/172.217.6.68","443","OK","www.google.com","",""
"cert_commonName_wo_SNI <cert#2>","www.google.com/172.217.6.68","443","INFO","www.google.com","",""
"cert_subjectAltName <cert#2>","www.google.com/172.217.6.68","443","INFO","www.google.com","",""
"cert_caIssuers <cert#2>","www.google.com/172.217.6.68","443","INFO","Google Internet Authority G3 (Google Trust Services from US)","",""
"cert_trust <cert#2>","www.google.com/172.217.6.68","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust <cert#2>","www.google.com/172.217.6.68","443","OK","passed.","",""
"cert_certificatePolicies_EV <cert#2>","www.google.com/172.217.6.68","443","INFO","no","",""
"cert_expiration_status <cert#2>","www.google.com/172.217.6.68","443","OK","69 >= 60 days","",""
"cert_notBefore <cert#2>","www.google.com/172.217.6.68","443","INFO","2018-10-30 07:14","",""
"cert_notAfter <cert#2>","www.google.com/172.217.6.68","443","OK","2019-01-22 06:14","",""
"certs_countServer <cert#2>","www.google.com/172.217.6.68","443","INFO","2","",""
"certs_list_ordering_problem <cert#2>","www.google.com/172.217.6.68","443","INFO","no","",""
"cert_crlDistributionPoints <cert#2>","www.google.com/172.217.6.68","443","INFO","http://crl.pki.goog/GTSGIAG3.crl","",""
"cert_ocspURL <cert#2>","www.google.com/172.217.6.68","443","INFO","http://ocsp.pki.goog/GTSGIAG3","",""
"OCSP_stapling <cert#2>","www.google.com/172.217.6.68","443","LOW","not offered","",""
"cert_mustStapleExtension <cert#2>","www.google.com/172.217.6.68","443","INFO","--","",""
"DNS_CAArecord <cert#2>","www.google.com/172.217.6.68","443","OK","issue=pki.goog","",""
"certificate_transparency <cert#2>","www.google.com/172.217.6.68","443","OK","yes (TLS extension)","",""
